ID Chr Position
M1 1 0.00335671007633209
M2 1 0.192403346300125
M3 1 0.237720292061567
M4 1 0.247489139437675
M5 1 0.321848206222057
M6 1 0.528285428881645
M7 1 0.801131669431925
M8 1 0.933786612004042
M9 1 1.42621409147978
M10 1 1.43960168585181
M11 1 1.87597995623946
M12 1 1.87969271093607
M13 1 1.94192383438349
Q1 1 2.11214810609818
M14 1 2.37893346697092
M15 1 2.40792665630579
M16 1 2.4999257363379
M17 1 2.81867550686002
M18 1 3.26371921226382
M19 1 3.39876824989915
M20 1 3.65772975608706
M21 1 3.77464467659593
M22 1 3.80714619532228
M23 1 3.89328798279166
M24 1 3.92921794205904
M25 1 3.99165101349354
M26 1 4.07551702111959
M27 1 4.08806402236223
M28 1 4.159199539572
M29 1 4.75668448954821
M30 1 4.9132769741118
M31 1 4.91500658914447
M32 1 5.59159625321627
M33 1 5.63194293528795
M34 1 5.66000236198306
M35 1 5.71059767156839
M36 1 5.71376621723175
M37 1 5.84621835500002
M38 1 6.25018006190658
M39 1 6.35634304955602
M40 1 6.49708392098546
M41 1 6.59288108348846
M42 1 6.72984013333917
M43 1 6.9986529275775
M44 1 7.44664745405316
M45 1 7.83125530928373
M46 1 8.18594833835959
M47 1 8.26190961524844
Q2 1 8.43127548694611
M48 1 8.73660504817963
M49 1 8.81847236305475
Q3 1 8.90343172475696
M50 1 8.93537124618888
M51 1 8.98451516404748
M52 1 9.137754868716
M53 1 9.7910457663238
M54 1 9.9527713470161
M55 1 10.0102632492781
M56 1 10.0763055495918
Q4 1 10.1140207983553
M57 1 10.1142128743231
M58 1 10.2849400229752
M59 1 10.4942790232599
M60 1 10.734035000205
M61 1 10.9876087494195
M62 1 11.0034527815878
M63 1 11.0713488608599
M64 1 11.5141671523452
M65 1 11.6661433130503
Q5 1 12.0361736603081
M66 1 12.5076945871115
M67 1 12.7922410331666
M68 1 13.0309686437249
M69 1 13.1408504210413
Q6 1 13.1616882048547
M70 1 13.4187150001526
M71 1 13.6501750722528
M72 1 13.8792687468231
M73 1 13.959225602448
M74 1 14.3679968081415
M75 1 14.5895292051136
M76 1 14.6898117475212
M77 1 14.9298883602023
M78 1 14.9931880459189
M79 1 15.0619702227414
Q7 1 15.2079006657004
M80 1 15.3020957112312
M81 1 15.810509417206
M82 1 16.2989966571331
M83 1 17.1869276836514
M84 1 17.2027922235429
M85 1 17.3604070954025
M86 1 17.3642553389072
M87 1 17.3646225221455
M88 1 17.5129272602499
M89 1 18.0076345615089
M90 1 18.1607899256051
M91 1 18.2586419209838
M92 1 18.5581901110709
M93 1 18.7357398122549
M94 1 18.9335149526596
M95 1 19.0433960407972
M96 1 19.1403899341822
M97 1 19.1735010035336
M98 1 19.3271259777248
M99 1 19.6118853241205
M100 1 19.8453011922538
M101 1 19.8607809282839
Q8 1 20.8169825188816
M102 1 21.0376252233982
M103 1 21.1212695762515
M104 1 21.1802582815289
M105 1 21.204552911222
M106 1 21.5243149362504
M107 1 21.5459251962602
M108 1 22.0195198245347
M109 1 22.0390963926911
M110 1 22.0819522626698
M111 1 22.1295593865216
M112 1 22.1907194331288
M113 1 22.2604073770344
M114 1 22.4423150718212
M115 1 22.4662182480097
M116 1 22.558485660702
M117 1 22.5857478938997
M118 1 22.8627961874008
M119 1 22.9343146830797
M120 1 22.9956826940179
M121 1 23.0930397845805
M122 1 23.1264143995941
