ID Generation Chr Freq.Allele1 Freq.Allele2
   M1 3 1 0.329 0.67100000
   M2 3 1 0.769 0.23100001
   M3 3 1 0.705 0.29500002
   M4 3 1 0.143 0.85699999
   M5 3 1 0.102 0.89800000
   M6 3 1 0.234 0.76600000
   M7 3 1 0.883 0.11699998
   M8 3 1 0.926 0.07400000
   M9 3 1 0.240 0.76000001
  M10 3 1 0.171 0.82900000
  M11 3 1 0.904 0.09600002
  M12 3 1 0.708 0.29200000
  M13 3 1 0.447 0.55300000
  M14 3 1 0.109 0.89100000
  M15 3 1 0.682 0.31800002
  M16 3 1 0.467 0.53299999
  M17 3 1 0.885 0.11500001
  M18 3 1 0.783 0.21700001
  M19 3 1 0.801 0.19900000
  M20 3 1 0.283 0.71700001
  M21 3 1 0.167 0.83300000
  M22 3 1 0.336 0.66400000
  M23 3 1 0.267 0.73300001
  M24 3 1 0.584 0.41600001
  M25 3 1 0.070 0.93000000
  M26 3 1 0.212 0.78800000
  M27 3 1 0.236 0.76400000
  M28 3 1 0.621 0.37900001
  M29 3 1 0.513 0.48699999
  M30 3 1 0.412 0.58800000
  M31 3 1 0.431 0.56900001
  M32 3 1 0.328 0.67199999
  M33 3 1 0.510 0.49000001
  M34 3 1 0.756 0.24400002
  M35 3 1 0.450 0.55000001
  M36 3 1 0.135 0.86499999
  M37 3 1 0.314 0.68599999
  M38 3 1 0.656 0.34399998
  M39 3 1 0.654 0.34600002
  M40 3 1 0.910 0.08999997
  M41 3 1 0.707 0.29299998
  M42 3 1 0.310 0.69000000
  M43 3 1 0.350 0.65000001
  M44 3 1 0.802 0.19800001
  M45 3 1 0.186 0.81400000
  M46 3 1 0.875 0.12500000
  M47 3 1 0.728 0.27200001
  M48 3 1 0.345 0.65500000
  M49 3 1 0.416 0.58399999
  M50 3 1 0.407 0.59299999
  M51 3 1 0.468 0.53200001
  M52 3 1 0.398 0.60200000
  M53 3 1 0.064 0.93600000
  M54 3 1 0.416 0.58399999
  M55 3 1 0.928 0.07200003
  M56 3 1 0.905 0.09500003
  M57 3 1 0.327 0.67300001
  M58 3 1 0.755 0.24500000
  M59 3 1 0.233 0.76700000
  M60 3 1 0.043 0.95700000
  M61 3 1 0.609 0.39099997
  M62 3 1 0.282 0.71799999
  M63 3 1 0.369 0.63100001
  M64 3 1 0.354 0.64600000
  M65 3 1 0.711 0.28899997
  M66 3 1 0.449 0.55100000
  M67 3 1 0.657 0.34299999
  M68 3 1 0.203 0.79700001
  M69 3 1 0.547 0.45300001
  M70 3 1 0.460 0.53999999
  M71 3 1 0.350 0.65000001
  M72 3 1 0.585 0.41500002
  M73 3 1 0.697 0.30299997
  M74 3 1 0.330 0.66999999
  M75 3 1 0.879 0.12099999
  M76 3 1 0.192 0.80800000
  M77 3 1 0.812 0.18800002
  M78 3 1 0.895 0.10500002
  M79 3 1 0.377 0.62300000
  M80 3 1 0.296 0.70400000
  M81 3 1 0.204 0.79600000
  M82 3 1 0.398 0.60200000
  M83 3 1 0.480 0.52000001
  M84 3 1 0.693 0.30699998
  M85 3 1 0.521 0.47899997
  M86 3 1 0.347 0.65300000
  M87 3 1 0.418 0.58199999
  M88 3 1 0.545 0.45499998
  M89 3 1 0.242 0.75800000
  M90 3 1 0.884 0.11600000
  M91 3 1 0.062 0.93800000
  M92 3 1 0.187 0.81299999
  M93 3 1 0.335 0.66499999
  M94 3 1 0.408 0.59200001
  M95 3 1 0.710 0.29000002
  M96 3 1 0.908 0.09200001
  M97 3 1 0.274 0.72600001
  M98 3 1 0.573 0.42699999
  M99 3 1 0.292 0.70800000
 M100 3 1 0.536 0.46399999
 M101 3 1 0.089 0.91100000
 M102 3 1 0.409 0.59099999
 M103 3 1 0.267 0.73300001
 M104 3 1 0.670 0.32999998
 M105 3 1 0.500 0.50000000
 M106 3 1 0.310 0.69000000
 M107 3 1 0.790 0.20999998
 M108 3 1 0.191 0.80900000
 M109 3 1 0.249 0.75100000
 M110 3 1 0.408 0.59200001
 M111 3 1 0.220 0.78000000
 M112 3 1 0.308 0.69200000
 M113 3 1 0.651 0.34899998
 M114 3 1 0.430 0.56999999
 M115 3 1 0.345 0.65500000
 M116 3 1 0.480 0.52000001
 M117 3 1 0.396 0.60400000
 M118 3 1 0.570 0.43000001
 M119 3 1 0.831 0.16900003
 M120 3 1 0.340 0.66000000
 M121 3 1 0.735 0.26499999
 M122 3 1 0.552 0.44800001
 M123 3 1 0.532 0.46799999
 M124 3 1 0.949 0.05100000
 M125 3 1 0.683 0.31699997
 M126 3 1 0.540 0.45999998
 M127 3 1 0.914 0.08600003
 M128 3 1 0.076 0.92400000
 M129 3 1 0.168 0.83200000
