ID Chr Add.Allele1 ADD.Allele2 Dominance
Q1 1 0.0160764554363558 -0.0160764554363558 0.000393813760911347
Q2 1 0.00151876755876154 -0.00151876755876154 0.000216076579428522
Q3 1 0.0160058960935077 -0.0160058960935077 0.0359930428363839
Q4 1 0.0114116176490498 -0.0114116176490498 0.0200868565708955
Q5 1 0.0326712355507796 -0.0326712355507796 0.0240984976323923
Q6 1 0.0475702565429952 -0.0475702565429952 0.083176395889393
Q7 1 0.153383061727367 -0.153383061727367 0.0599466884451902
Q8 1 7.00177425874629e-05 -7.00177425874629e-05 8.50108702721888e-05
Q9 1 0.000762441087620647 -0.000762441087620647 0.00244633909720423
Q10 1 0.00779771673980183 -0.00779771673980183 0.00632409827155101
Q11 1 0.0543988552896652 -0.0543988552896652 0.202237382996488
Q12 1 0.146402254639719 -0.146402254639719 -0.0396436561240426
Q13 1 0.0281808245021616 -0.0281808245021616 0.0254506705263593
Q14 1 0.0178022846673735 -0.0178022846673735 -0.0137069117409972
Q15 1 0.0249648240082776 -0.0249648240082776 0.00304041937255708
Q16 1 0.0559519508642124 -0.0559519508642124 0.0176852679426063
Q17 1 0.00151645916953379 -0.00151645916953379 -0.000712934362250733
Q18 1 0.00437637375961717 -0.00437637375961717 -0.0024688133386869
Q19 1 0.184295530506746 -0.184295530506746 0.050437243070243
Q20 1 0.0489380913452741 -0.0489380913452741 0.0457055904582192
Q21 1 0.0575973635768748 -0.0575973635768748 -0.023883344531814
Q22 1 6.58004489782933e-07 -6.58004489782933e-07 2.45379626350046e-07
Q23 1 0.000627029968390483 -0.000627029968390483 0.000670530115199956
Q24 1 0.00815137424282074 -0.00815137424282074 -0.0321493088130297
Q25 1 0.00104653394124016 -0.00104653394124016 0.000524654648228575
Q26 1 0.0840550172739552 -0.0840550172739552 -0.0325192704818422
Q27 1 0.0985912721381815 -0.0985912721381815 0.00668358211860468
Q28 1 0.215453675080597 -0.215453675080597 -0.0195462894546189
