ID Generation Chr Freq.Allele1 Freq.Allele2
  Q1 3 1 0.0930 0.906999998
  Q2 3 1 0.6185 0.381500006
  Q3 3 1 0.6920 0.308000028
  Q4 3 1 0.7070 0.292999983
  Q5 3 1 0.3400 0.659999996
  Q6 3 1 0.5825 0.417500019
  Q7 3 1 0.4215 0.578500003
  Q8 3 1 0.0860 0.913999997
  Q9 3 1 0.3080 0.692000002
 Q10 3 1 0.2810 0.719000012
 Q11 3 1 0.5880 0.412000000
 Q12 3 1 0.5625 0.437500000
 Q13 3 1 0.9510 0.049000025
 Q14 3 1 0.4975 0.502499998
 Q15 3 1 0.8650 0.134999990
 Q16 3 1 0.6965 0.303499997
 Q17 3 1 0.5365 0.463500023
 Q18 3 1 0.2375 0.762500003
 Q19 3 1 0.2975 0.702499986
 Q20 3 1 0.1595 0.840499997
 Q21 3 1 0.4525 0.547500014
 Q22 3 1 0.9875 0.012499988
 Q23 3 1 0.5510 0.449000001
 Q24 3 1 0.1805 0.819499999
 Q25 3 1 0.7465 0.253499985
 Q26 3 1 0.8425 0.157500029
 Q27 3 1 0.5010 0.499000013
 Q28 3 1 0.4970 0.502999991
 Q29 3 1 0.1965 0.803499997
 Q30 3 1 0.9970 0.003000021
 Q31 3 1 0.6860 0.314000010
 Q32 3 1 0.1030 0.897000000
 Q33 3 1 0.9000 0.100000024
 Q34 3 2 0.8340 0.166000009
 Q35 3 2 0.2905 0.709500015
 Q36 3 2 0.6705 0.329500020
 Q37 3 2 0.6765 0.323499978
 Q38 3 2 0.2650 0.735000014
 Q39 3 2 0.7870 0.213000000
 Q40 3 2 0.0440 0.956000000
 Q41 3 2 0.3675 0.632499993
 Q42 3 2 0.6075 0.392499983
 Q43 3 2 0.9750 0.024999976
 Q44 3 2 0.8595 0.140500009
 Q45 3 2 0.2945 0.705500007
 Q46 3 2 0.8655 0.134500027
 Q47 3 2 0.1785 0.821500003
 Q48 3 2 0.1780 0.821999997
 Q49 3 2 0.8325 0.167500019
 Q50 3 2 0.5120 0.487999976
 Q51 3 2 0.3615 0.638500005
 Q52 3 2 0.1795 0.820500001
 Q53 3 2 0.6545 0.345499992
 Q54 3 2 0.4760 0.523999989
 Q55 3 2 0.3095 0.690499991
 Q56 3 2 0.6845 0.315500021
 Q57 3 2 0.8625 0.137499988
 Q58 3 2 0.6250 0.375000000
 Q59 3 2 0.7200 0.279999971
 Q60 3 2 0.7730 0.226999998
 Q61 3 2 0.9680 0.032000005
 Q62 3 2 0.4025 0.597499996
 Q63 3 2 0.5620 0.438000023
 Q64 3 2 0.5510 0.449000001
 Q65 3 2 0.3385 0.661500007
 Q66 3 2 0.2785 0.721500009
 Q67 3 2 0.7620 0.237999976
 Q68 3 2 0.7370 0.263000011
 Q69 3 2 0.2340 0.766000003
 Q70 3 2 0.4870 0.513000011
 Q71 3 2 0.1360 0.863999993
 Q72 3 2 0.1050 0.895000003
 Q73 3 2 0.2405 0.759499997
 Q74 3 2 0.2085 0.791500002
 Q75 3 3 0.1670 0.833000004
 Q76 3 3 0.6070 0.393000007
 Q77 3 3 0.0360 0.964000002
 Q78 3 3 0.5410 0.458999991
 Q79 3 3 0.6975 0.302500010
 Q80 3 3 0.6695 0.330500007
 Q81 3 3 0.8515 0.148500025
 Q82 3 3 0.5590 0.440999985
 Q83 3 3 0.9595 0.040499985
 Q84 3 3 0.7230 0.277000010
 Q85 3 3 0.2970 0.703000009
 Q86 3 3 0.1770 0.822999999
 Q87 3 3 0.3720 0.627999991
 Q88 3 3 0.4835 0.516499996
 Q89 3 3 0.3580 0.641999990
 Q90 3 3 0.5100 0.490000010
 Q91 3 3 0.3885 0.611499995
 Q92 3 3 0.3605 0.639499992
 Q93 3 3 0.7005 0.299499989
 Q94 3 3 0.8145 0.185500026
 Q95 3 3 0.7720 0.227999985
 Q96 3 3 0.3840 0.615999997
 Q97 3 3 0.8580 0.142000020
 Q98 3 3 0.7085 0.291499972
 Q99 3 3 0.6480 0.351999998
Q100 3 3 0.8945 0.105499983
Q101 3 3 0.1200 0.880000003
Q102 3 3 0.3490 0.650999993
Q103 3 3 0.3215 0.678499997
Q104 3 3 0.8625 0.137499988
Q105 3 3 0.5395 0.460500002
Q106 3 3 0.7150 0.285000026
Q107 3 3 0.3375 0.662499994
Q108 3 3 0.9395 0.060500026
Q109 3 3 0.7840 0.216000021
Q110 3 3 0.6645 0.335500002
Q111 3 3 0.8900 0.110000014
Q112 3 3 0.2090 0.790999994
Q113 3 3 0.5640 0.435999990
Q114 3 3 0.4215 0.578500003
